<<<<<<< HEAD
SKU|Product Name|Price|Department
AV1051|JBL Bluetooth Speaker|89.5|Audio Video
AV1312|Mini 1000 Lumens Projector|149.95|Audion Video
GM1148|Retro Handheld Arcade|24.45|Games
PW1001|Solar Powered Battery Charger|19.99|Electronics
HP1022|MacBook|950.99|Electronics
PP9393|The Weeknd: Kiss Land|19.99|Audio
KK3913|Frozen Strawberries|3.99|Food Department
HQ2891|Pair of Pearl Earrings|10.99|Beauty
=======
SKU|Product Name|Price|Department
AV1051|JBL Bluetooth Speaker|89.5|Audio Video
AV1312|Mini 1000 Lumens Projector|149.95|Audion Video
GM1148|Retro Handheld Arcade|24.45|Games
PW1001|Solar Powered Battery Charger|19.99|Electronics
HP1022|MacBook|950.99|Electronics
PP9393|The Weeknd: Kiss Land|19.99|Audio
KK3913|Frozen Strawberries|3.99|Food Department
HQ2891|Pair of Pearl Earrings|10.99|Beauty
>>>>>>> f4e8a83aca088e80a20dc52215ad53a5b4bfc449
MU3801|Dior Lipgloss|15.99|Beauty
